C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
0021200136,0021300136,0021400136,0021500136,0021600136,0021700136,0021800136,0022100136,0022200136,0022300136,0022400136
0021200137,0021300137,0021400137,0021500137,0021600137,0021700137,0021800137,0022100137,0022200137,0022300137,0022400137
0021200138,0021300138,0021400138,0021500138,0021600138,0021700138,0021800138,0022100138,0022200138,0022300138,0022400138
0021200139,0021300139,0021400139,0021500139,0021600139,0021700139,0021800139,0022100139,0022200139,0022300139,0022400139
0021200140,0021300140,0021400140,0021500140,0021600140,0021700140,0021800140,0022100140,0022200140,0022300140,0022400140
0021200141,0021300141,0021400141,0021500141,0021600141,0021700141,0021800141,0022100141,0022200141,0022300141,0022400141
0021200142,0021300142,0021400142,0021500142,0021600142,0021700142,0021800142,0022100142,0022200142,0022300142,0022400142
0021200143,0021300143,0021400143,0021500143,0021600143,0021700143,0021800143,0022100143,0022200143,0022300143,0022400143
0021200144,0021300144,0021400144,0021500144,0021600144,0021700144,0021800144,0022100144,0022200144,0022300144,0022400144
0021200145,0021300145,0021400145,0021500145,0021600145,0021700145,0021800145,0022100145,0022200145,0022300145,0022400145
0021200146,0021300146,0021400146,0021500146,0021600146,0021700146,0021800146,0022100146,0022200146,0022300146,0022400146
0021200147,0021300147,0021400147,0021500147,0021600147,0021700147,0021800147,0022100147,0022200147,0022300147,0022400147
0021200148,0021300148,0021400148,0021500148,0021600148,0021700148,0021800148,0022100148,0022200148,0022300148,0022400148
0021200149,0021300149,0021400149,0021500149,0021600149,0021700149,0021800149,0022100149,0022200149,0022300149,0022400149
0021200150,0021300150,0021400150,0021500150,0021600150,0021700150,0021800150,0022100150,0022200150,0022300150,0022400150
0021200151,0021300151,0021400151,0021500151,0021600151,0021700151,0021800151,0022100151,0022200151,0022300151,0022400151
0021200152,0021300152,0021400152,0021500152,0021600152,0021700152,0021800152,0022100152,0022200152,0022300152,0022400152
0021200153,0021300153,0021400153,0021500153,0021600153,0021700153,0021800153,0022100153,0022200153,0022300153,0022400153
0021200154,0021300154,0021400154,0021500154,0021600154,0021700154,0021800154,0022100154,0022200154,0022300154,0022400154
0021200155,0021300155,0021400155,0021500155,0021600155,0021700155,0021800155,0022100155,0022200155,0022300155,0022400155
0021200156,0021300156,0021400156,0021500156,0021600156,0021700156,0021800156,0022100156,0022200156,0022300156,0022400156
0021200157,0021300157,0021400157,0021500157,0021600157,0021700157,0021800157,0022100157,0022200157,0022300157,0022400157
0021200158,0021300158,0021400158,0021500158,0021600158,0021700158,0021800158,0022100158,0022200158,0022300158,0022400158
0021200159,0021300159,0021400159,0021500159,0021600159,0021700159,0021800159,0022100159,0022200159,0022300159,0022400159
0021200160,0021300160,0021400160,0021500160,0021600160,0021700160,0021800160,0022100160,0022200160,0022300160,0022400160
0021200161,0021300161,0021400161,0021500161,0021600161,0021700161,0021800161,0022100161,0022200161,0022300161,0022400161
0021200162,0021300162,0021400162,0021500162,0021600162,0021700162,0021800162,0022100162,0022200162,0022300162,0022400162
0021200163,0021300163,0021400163,0021500163,0021600163,0021700163,0021800163,0022100163,0022200163,0022300163,0022400163
0021200164,0021300164,0021400164,0021500164,0021600164,0021700164,0021800164,0022100164,0022200164,0022300164,0022400164
0021200165,0021300165,0021400165,0021500165,0021600165,0021700165,0021800165,0022100165,0022200165,0022300165,0022400165
0021200166,0021300166,0021400166,0021500166,0021600166,0021700166,0021800166,0022100166,0022200166,0022300166,0022400166
0021200167,0021300167,0021400167,0021500167,0021600167,0021700167,0021800167,0022100167,0022200167,0022300167,0022400167
0021200168,0021300168,0021400168,0021500168,0021600168,0021700168,0021800168,0022100168,0022200168,0022300168,0022400168
0021200169,0021300169,0021400169,0021500169,0021600169,0021700169,0021800169,0022100169,0022200169,0022300169,0022400169
